ID	LabelName	Region	Hemi	R	G	B	A
0	Background	background	none	0	0	0	0
3	cortex-rh-ACC	cortex	rh	80	171	159	0
11	cortex-rh-MCC	cortex	rh	135	241	163	0
17	cortex-rh-med_OFC	cortex	rh	153	126	226	0
25	cortex-rh-lat_OFC	cortex	rh	116	216	235	0
37	cortex-rh-caudal_OFC	cortex	rh	194	175	43	0
51	cortex-rh-area_8A	cortex	rh	82	234	148	0
54	cortex-rh-dlPFC	cortex	rh	253	55	132	0
64	cortex-rh-vlPFC	cortex	rh	141	51	181	0
78	cortex-rh-M1/PM	cortex	rh	228	68	44	0
87	cortex-rh-SMA/preSMA	cortex	rh	57	208	68	0
92	cortex-rh-SI	cortex	rh	127	152	164	0
95	cortex-rh-SII	cortex	rh	214	156	151	0
97	cortex-rh-V6/V6A	cortex	rh	69	129	226	0
102	cortex-rh-area_5	cortex	rh	57	193	177	0
107	cortex-rh-vm_IPS	cortex	rh	83	178	168	0
113	cortex-rh-lat_IPS	cortex	rh	27	187	242	0
119	cortex-rh-MST	cortex	rh	93	66	209	0
120	cortex-rh-area_7_in_IPL	cortex	rh	151	83	68	0
126	cortex-rh-area_7m	cortex	rh	166	35	167	0
127	cortex-rh-PCgG	cortex	rh	31	253	179	0
140	cortex-rh-HC	cortex	rh	217	243	44	0
148	cortex-rh-paraHipp	cortex	rh	123	199	182	0
153	cortex-rh-Rh	cortex	rh	145	39	29	0
165	cortex-rh-TG	cortex	rh	24	35	203	0
176	cortex-rh-TEO	cortex	rh	27	34	216	0
177	cortex-rh-TE	cortex	rh	75	147	127	0
188	cortex-rh-STSf	cortex	rh	222	200	235	0
194	cortex-rh-STGr/STSd	cortex	rh	228	174	37	0
199	cortex-rh-STGc	cortex	rh	108	210	120	0
205	cortex-rh-belt	cortex	rh	131	143	205	0
218	cortex-rh-RTp	cortex	rh	96	67	47	0
219	cortex-rh-core	cortex	rh	198	183	107	0
224	cortex-rh-floor_of_ls	cortex	rh	36	236	68	0
232	cortex-rh-MT	cortex	rh	91	51	79	0
234	cortex-rh-V4	cortex	rh	107	87	241	0
237	cortex-rh-V2-V3	cortex	rh	179	146	251	0
246	cortex-rh-V1	cortex	rh	35	152	119	0
503	subcortex-rh-LPal	subcortex	rh	63	58	110	0
505	subcortex-rh-VPal	subcortex	rh	58	85	236	0
511	subcortex-rh-HF	subcortex	rh	47	136	51	0
515	subcortex-rh-f	subcortex	rh	62	90	92	0
517	subcortex-rh-pAmy	subcortex	rh	227	130	204	0
532	subcortex-rh-spAmy	subcortex	rh	73	187	178	0
543	subcortex-rh-Str	subcortex	rh	235	184	253	0
554	subcortex-rh-Pd	subcortex	rh	151	107	64	0
561	subcortex-rh-DSP	subcortex	rh	171	155	70	0
569	subcortex-rh-POC	subcortex	rh	178	240	157	0
576	subcortex-rh-THy	subcortex	rh	215	195	170	0
592	subcortex-rh-PHy	subcortex	rh	38	139	150	0
600	subcortex-rh-Pit	subcortex	rh	87	108	181	0
604	subcortex-rh-ZI-H	subcortex	rh	36	71	253	0
606	subcortex-rh-Rt	subcortex	rh	208	245	34	0
607	subcortex-rh-MThal	subcortex	rh	198	40	213	0
620	subcortex-rh-MLThal	subcortex	rh	77	131	149	0
628	subcortex-rh-VThal	subcortex	rh	244	121	43	0
641	subcortex-rh-PThal	subcortex	rh	117	23	169	0
650	subcortex-rh-GThal	subcortex	rh	100	190	195	0
653	subcortex-rh-EpiThal	subcortex	rh	209	246	146	0
656	subcortex-rh-PrT	subcortex	rh	190	201	195	0
664	subcortex-rh-DMid	subcortex	rh	221	202	252	0
673	subcortex-rh-LMid	subcortex	rh	155	111	134	0
685	subcortex-rh-MMid	subcortex	rh	96	227	41	0
693	subcortex-rh-VMid	subcortex	rh	143	81	168	0
706	subcortex-rh-DPons	subcortex	rh	179	248	246	0
719	subcortex-rh-LPons	subcortex	rh	90	198	48	0
724	subcortex-rh-VPons	subcortex	rh	244	206	94	0
742	subcortex-rh-wmCB	subcortex	rh	126	99	55	0
745	subcortex-rh-DCb	subcortex	rh	76	197	190	0
751	subcortex-rh-CbCx	subcortex	rh	212	206	153	0
781	subcortex-rh-DMed	subcortex	rh	74	83	122	0
799	subcortex-rh-IMed	subcortex	rh	243	68	240	0
811	subcortex-rh-VMed	subcortex	rh	43	65	153	0
1003	cortex-lh-ACC	cortex	lh	147	163	112	0
1011	cortex-lh-MCC	cortex	lh	113	84	27	0
1017	cortex-lh-med_OFC	cortex	lh	143	252	182	0
1025	cortex-lh-lat_OFC	cortex	lh	73	34	31	0
1037	cortex-lh-caudal_OFC	cortex	lh	41	132	192	0
1051	cortex-lh-area_8A	cortex	lh	32	193	49	0
1054	cortex-lh-dlPFC	cortex	lh	51	154	235	0
1064	cortex-lh-vlPFC	cortex	lh	83	179	34	0
1078	cortex-lh-M1/PM	cortex	lh	44	53	133	0
1087	cortex-lh-SMA/preSMA	cortex	lh	71	220	239	0
1092	cortex-lh-SI	cortex	lh	174	148	141	0
1095	cortex-lh-SII	cortex	lh	74	74	242	0
1097	cortex-lh-V6/V6A	cortex	lh	154	45	25	0
1102	cortex-lh-area_5	cortex	lh	207	113	53	0
1107	cortex-lh-vm_IPS	cortex	lh	189	216	220	0
1113	cortex-lh-lat_IPS	cortex	lh	27	35	72	0
1119	cortex-lh-MST	cortex	lh	34	162	177	0
1120	cortex-lh-area_7_in_IPL	cortex	lh	172	200	51	0
1126	cortex-lh-area_7m	cortex	lh	88	36	81	0
1127	cortex-lh-PCgG	cortex	lh	147	59	85	0
1140	cortex-lh-HC	cortex	lh	112	204	59	0
1148	cortex-lh-paraHipp	cortex	lh	132	110	196	0
1153	cortex-lh-Rh	cortex	lh	36	126	197	0
1165	cortex-lh-TG	cortex	lh	229	56	161	0
1176	cortex-lh-TEO	cortex	lh	220	165	78	0
1177	cortex-lh-TE	cortex	lh	120	90	160	0
1188	cortex-lh-STSf	cortex	lh	169	151	252	0
1194	cortex-lh-STGr/STSd	cortex	lh	180	101	159	0
1199	cortex-lh-STGc	cortex	lh	211	43	149	0
1205	cortex-lh-belt	cortex	lh	187	124	214	0
1218	cortex-lh-RTp	cortex	lh	159	56	48	0
1219	cortex-lh-core	cortex	lh	239	155	118	0
1224	cortex-lh-floor_of_ls	cortex	lh	46	54	201	0
1232	cortex-lh-MT	cortex	lh	167	52	199	0
1234	cortex-lh-V4	cortex	lh	219	132	49	0
1237	cortex-lh-V2-V3	cortex	lh	58	247	121	0
1246	cortex-lh-V1	cortex	lh	62	35	154	0
1503	subcortex-lh-LPal	subcortex	lh	138	53	254	0
1505	subcortex-lh-VPal	subcortex	lh	50	181	40	0
1511	subcortex-lh-HF	subcortex	lh	66	194	120	0
1515	subcortex-lh-f	subcortex	lh	226	235	206	0
1517	subcortex-lh-pAmy	subcortex	lh	121	144	25	0
1532	subcortex-lh-spAmy	subcortex	lh	241	65	95	0
1543	subcortex-lh-Str	subcortex	lh	44	119	174	0
1554	subcortex-lh-Pd	subcortex	lh	127	235	37	0
1561	subcortex-lh-DSP	subcortex	lh	212	83	212	0
1569	subcortex-lh-POC	subcortex	lh	202	119	120	0
1576	subcortex-lh-THy	subcortex	lh	198	99	228	0
1592	subcortex-lh-PHy	subcortex	lh	115	229	71	0
1600	subcortex-lh-Pit	subcortex	lh	23	110	157	0
1604	subcortex-lh-ZI-H	subcortex	lh	26	91	219	0
1606	subcortex-lh-Rt	subcortex	lh	152	159	132	0
1607	subcortex-lh-MThal	subcortex	lh	251	51	158	0
1620	subcortex-lh-MLThal	subcortex	lh	252	41	79	0
1628	subcortex-lh-VThal	subcortex	lh	46	169	226	0
1641	subcortex-lh-PThal	subcortex	lh	223	115	118	0
1650	subcortex-lh-GThal	subcortex	lh	142	35	109	0
1653	subcortex-lh-EpiThal	subcortex	lh	240	32	235	0
1656	subcortex-lh-PrT	subcortex	lh	206	224	247	0
1664	subcortex-lh-DMid	subcortex	lh	211	122	208	0
1673	subcortex-lh-LMid	subcortex	lh	97	40	113	0
1685	subcortex-lh-MMid	subcortex	lh	161	58	214	0
1693	subcortex-lh-VMid	subcortex	lh	254	205	57	0
1706	subcortex-lh-DPons	subcortex	lh	135	170	140	0
1719	subcortex-lh-LPons	subcortex	lh	149	121	232	0
1724	subcortex-lh-VPons	subcortex	lh	43	136	145	0
1742	subcortex-lh-wmCB	subcortex	lh	28	141	235	0
1745	subcortex-lh-DCb	subcortex	lh	96	113	195	0
1751	subcortex-lh-CbCx	subcortex	lh	21	246	108	0
1781	subcortex-lh-DMed	subcortex	lh	41	139	244	0
1799	subcortex-lh-IMed	subcortex	lh	83	218	56	0
1811	subcortex-lh-VMed	subcortex	lh	161	101	239	0
-1	WM-rh-ctxWM	WM	rh	54	165	236	0
-2	CSF-rh-CSF	CSF	rh	240	237	34	0
-501	WM-rh-cbWM	WM	rh	183	92	180	0
-1001	WM-lh-ctxWM	WM	lh	223	35	214	0
-1002	CSF-lh-CSF	CSF	lh	153	172	127	0
-1501	WM-lh-cbWM	WM	lh	183	77	128	0
